0,empower wireless convergence,49.96
1,synthesize bleeding-edge initiatives,8.81
2,leverage end-to-end ROI,2.97
3,enhance back-end relationships,17.9
4,envisioneer web-enabled e-commerce,0.37
5,brand integrated e-services,25.39
6,deliver scalable info-mediaries,41.48
7,utilize cutting-edge e-markets,3.44
8,utilize virtual paradigms,43.1
9,disintermediate dynamic vortals,45.42
10,seize turn-key experiences,6.43
11,optimize extensible systems,42.65
12,generate real-time e-tailers,28.4
13,embrace front-end e-services,19.76
14,redefine cutting-edge e-markets,9.04
15,grow out-of-the-box communities,42.02
16,whiteboard distributed technologies,31.7
17,empower intuitive communities,25.89
18,optimize bleeding-edge e-commerce,2.6
19,facilitate transparent architectures,49.22
20,evolve mission-critical e-commerce,26.83
21,redefine viral e-tailers,18.86
22,deliver holistic e-commerce,16.37
23,generate cross-media applications,40.18
24,enable distributed relationships,23.35
25,orchestrate global mindshare,39.69
26,deploy magnetic users,15.88
27,e-enable end-to-end paradigms,41.6
28,facilitate magnetic paradigms,2.88
29,re-intermediate cutting-edge e-services,0.98
30,embrace 24/365 communities,4.4
31,grow dot-com mindshare,45.92
32,transform scalable partnerships,30.27
33,incentivize leading-edge technologies,35.76
34,synthesize out-of-the-box synergies,44.44
35,incubate compelling paradigms,19.76
36,repurpose synergistic convergence,15.5
37,incentivize cutting-edge infrastructures,4.71
38,deliver visionary mindshare,46.77
39,synergize wireless methodologies,28.74
40,aggregate visionary models,12.84
41,revolutionize granular vortals,11.58
42,seize ubiquitous communities,49.31
43,evolve B2B partnerships,41.43
44,expedite wireless applications,44.66
45,harness 24/7 portals,21.3
46,integrate strategic systems,37.53
47,envisioneer next-generation methodologies,37.24
48,benchmark cross-platform partnerships,17.07
49,synthesize innovative e-tailers,31.45
50,evolve open-source architectures,30.64
51,brand open-source deliverables,43.93
52,matrix customized info-mediaries,12.43
53,iterate real-time niches,22.55
54,evolve open-source partnerships,7.83
55,scale magnetic infrastructures,36.88
56,harness compelling paradigms,7.19
57,embrace visionary communities,34.05
58,facilitate leading-edge bandwidth,46.28
59,architect magnetic convergence,32.85
60,scale killer info-mediaries,7.25
61,optimize wireless mindshare,43.18
62,e-enable seamless e-services,36.88
63,enable killer deliverables,20.13
64,synthesize next-generation e-services,12.77
65,engage wireless e-tailers,17.74
66,productize mission-critical e-services,22.4
67,re-contextualize one-to-one experiences,11.18
68,harness back-end e-business,27.92
69,e-enable virtual metrics,8.45
70,monetize strategic e-markets,37.67
71,utilize efficient supply-chains,4.9
72,engage world-class systems,2.96
73,optimize innovative initiatives,13.93
74,reinvent scalable applications,17.49
75,engineer open-source deliverables,31.3
76,utilize user-centric functionalities,49.68
77,utilize out-of-the-box models,10.82
78,empower customized paradigms,35.68
79,morph cross-platform methodologies,32.32
80,engineer proactive supply-chains,9.39
81,transform seamless bandwidth,4.4
82,synergize customized channels,29.42
83,embrace frictionless infrastructures,2.1
84,matrix magnetic convergence,31.54
85,integrate robust portals,3.38
86,enable cross-media relationships,48.06
87,whiteboard proactive e-markets,36.4
88,empower compelling relationships,3.3
89,monetize proactive markets,20.84
90,synthesize scalable solutions,5.65
91,engineer interactive portals,33.13
